"","RFLP.Value","Sample.Collection.Year","Freq"
"1","1-1-2",2000,2
"2","1-1-2",2001,6
"3","1-1-2",2002,11
"4","1-1-2",2003,9
"5","1-1-2",2004,21
"6","1-1-2",2005,72
"7","1-1-2",2006,34
"8","1-1-2",2007,26
"9","1-1-2",2008,16
"10","1-1-2",2009,5
"11","1-1-2",2010,12
"12","1-1-2",2011,13
"13","1-1-2",2013,1
"14","1-1-2",2014,2
"15","1-1-2",2015,2
"16","1-1-2",2016,4
"17","1-1-2",2017,9
"18","1-1-2",2018,6
"19","1-1-2",2019,4
"20","1-18-2",2004,9
"21","1-18-2",2005,11
"22","1-18-2",2006,16
"23","1-18-2",2007,55
"24","1-18-2",2008,44
"25","1-18-2",2009,4
"26","1-18-2",2010,56
"27","1-18-2",2011,86
"28","1-18-2",2012,103
"29","1-18-2",2013,112
"30","1-18-2",2014,65
"31","1-18-2",2015,55
"32","1-18-2",2016,36
"33","1-18-2",2017,12
"34","1-18-2",2018,1
"35","1-2-2",2000,10
"36","1-2-2",2001,27
"37","1-2-2",2002,37
"38","1-2-2",2003,31
"39","1-2-2",2004,22
"40","1-2-2",2005,35
"41","1-2-2",2006,12
"42","1-2-2",2007,22
"43","1-2-2",2008,21
"44","1-2-2",2009,135
"45","1-2-2",2010,95
"46","1-2-2",2011,34
"47","1-2-2",2012,22
"48","1-2-2",2013,12
"49","1-2-2",2014,4
"50","1-2-2",2015,4
"51","1-2-2",2017,5
"52","1-2-4",2000,3
"53","1-2-4",2001,11
"54","1-2-4",2002,20
"55","1-2-4",2003,39
"56","1-2-4",2004,17
"57","1-2-4",2005,55
"58","1-2-4",2006,33
"59","1-2-4",2007,17
"60","1-2-4",2008,4
"61","1-2-4",2009,44
"62","1-2-4",2010,40
"63","1-2-4",2011,48
"64","1-2-4",2012,16
"65","1-2-4",2013,8
"66","1-2-4",2015,11
"67","1-2-4",2016,7
"68","1-2-4",2017,3
"69","1-2-4",2018,2
"70","1-2-4",2019,3
"71","1-26-2",2009,4
"72","1-26-2",2010,5
"73","1-26-2",2011,8
"74","1-26-2",2012,159
"75","1-26-2",2013,71
"76","1-26-2",2014,33
"77","1-26-2",2015,9
"78","1-26-2",2016,18
"79","1-26-2",2017,8
"80","1-26-2",2018,2
"81","1-26-2",2019,1
"82","1-3-2",2000,19
"83","1-3-2",2001,35
"84","1-3-2",2002,56
"85","1-3-2",2003,77
"86","1-3-2",2004,75
"87","1-3-2",2005,76
"88","1-3-2",2006,41
"89","1-3-2",2007,59
"90","1-3-2",2008,18
"91","1-3-2",2009,31
"92","1-3-2",2010,42
"93","1-3-2",2011,5
"94","1-3-2",2012,4
"95","1-3-2",2013,9
"96","1-3-2",2014,33
"97","1-3-2",2015,5
"98","1-3-2",2016,65
"99","1-3-2",2017,73
"100","1-3-2",2018,45
"101","1-3-2",2019,37
"102","1-3-4",2000,3
"103","1-3-4",2001,3
"104","1-3-4",2002,27
"105","1-3-4",2003,40
"106","1-3-4",2004,35
"107","1-3-4",2005,28
"108","1-3-4",2006,41
"109","1-3-4",2007,28
"110","1-3-4",2008,9
"111","1-3-4",2009,9
"112","1-3-4",2010,15
"113","1-3-4",2011,15
"114","1-3-4",2012,9
"115","1-3-4",2013,18
"116","1-3-4",2014,20
"117","1-3-4",2015,7
"118","1-3-4",2016,82
"119","1-3-4",2017,87
"120","1-3-4",2018,19
"121","1-3-4",2019,12
"122","1-4-1",2000,8
"123","1-4-1",2001,11
"124","1-4-1",2002,39
"125","1-4-1",2003,21
"126","1-4-1",2004,10
"127","1-4-1",2005,15
"128","1-4-1",2006,5
"129","1-4-1",2008,3
"130","1-4-1",2010,2
"131","1-4-1",2012,1
"132","1-4-1",2015,1
"133","1-4-2",2000,91
"134","1-4-2",2001,172
"135","1-4-2",2002,194
"136","1-4-2",2003,264
"137","1-4-2",2004,261
"138","1-4-2",2005,239
"139","1-4-2",2006,177
"140","1-4-2",2007,181
"141","1-4-2",2008,46
"142","1-4-2",2009,110
"143","1-4-2",2010,100
"144","1-4-2",2011,65
"145","1-4-2",2012,67
"146","1-4-2",2013,21
"147","1-4-2",2014,7
"148","1-4-2",2015,12
"149","1-4-2",2016,150
"150","1-4-2",2017,157
"151","1-4-2",2018,6
"152","1-4-2",2019,13
"153","1-4-4",2000,5
"154","1-4-4",2001,19
"155","1-4-4",2002,50
"156","1-4-4",2003,104
"157","1-4-4",2004,119
"158","1-4-4",2005,93
"159","1-4-4",2006,102
"160","1-4-4",2007,73
"161","1-4-4",2008,23
"162","1-4-4",2009,63
"163","1-4-4",2010,342
"164","1-4-4",2011,443
"165","1-4-4",2012,464
"166","1-4-4",2013,288
"167","1-4-4",2014,346
"168","1-4-4",2015,98
"169","1-4-4",2016,126
"170","1-4-4",2017,87
"171","1-4-4",2018,34
"172","1-4-4",2019,34
"173","1-6-4",2002,2
"174","1-6-4",2003,4
"175","1-6-4",2005,5
"176","1-6-4",2008,1
"177","1-6-4",2012,3
"178","1-6-4",2014,20
"179","1-6-4",2015,58
"180","1-6-4",2016,36
"181","1-6-4",2017,57
"182","1-6-4",2018,6
"183","1-6-4",2019,1
"184","1-7-2",2000,7
"185","1-7-2",2001,17
"186","1-7-2",2002,30
"187","1-7-2",2003,19
"188","1-7-2",2004,17
"189","1-7-2",2005,30
"190","1-7-2",2006,8
"191","1-7-2",2007,11
"192","1-7-2",2008,3
"193","1-7-2",2009,3
"194","1-7-2",2010,2
"195","1-7-2",2012,1
"196","1-7-2",2014,1
"197","1-7-2",2015,25
"198","1-7-2",2016,21
"199","1-7-2",2017,32
"200","1-7-2",2018,12
"201","1-7-2",2019,15
"202","1-7-4",2000,6
"203","1-7-4",2001,3
"204","1-7-4",2002,6
"205","1-7-4",2003,8
"206","1-7-4",2004,16
"207","1-7-4",2005,9
"208","1-7-4",2006,29
"209","1-7-4",2007,17
"210","1-7-4",2008,1
"211","1-7-4",2010,2
"212","1-7-4",2012,8
"213","1-7-4",2013,5
"214","1-7-4",2014,395
"215","1-7-4",2015,618
"216","1-7-4",2016,580
"217","1-7-4",2017,416
"218","1-7-4",2018,119
"219","1-7-4",2019,77
"220","1-8-4",2000,1
"221","1-8-4",2001,30
"222","1-8-4",2002,79
"223","1-8-4",2003,112
"224","1-8-4",2004,148
"225","1-8-4",2005,208
"226","1-8-4",2006,156
"227","1-8-4",2007,166
"228","1-8-4",2008,47
"229","1-8-4",2010,4
"230","1-8-4",2011,5
"231","1-8-4",2012,13
"232","1-8-4",2013,21
"233","1-8-4",2014,14
"234","1-8-4",2015,5
"235","1-8-4",2016,87
"236","1-8-4",2017,80
"237","1-8-4",2018,54
"238","1-8-4",2019,80
"239","2-5-2",2000,18
"240","2-5-2",2001,39
"241","2-5-2",2002,61
"242","2-5-2",2003,66
"243","2-5-2",2004,84
"244","2-5-2",2005,77
"245","2-5-2",2006,46
"246","2-5-2",2007,41
"247","2-5-2",2008,11
"248","2-5-2",2009,3
"249","2-5-2",2010,8
